id,source_id,started_at,finished_at,status,rows_inserted,message
10,29,2026-07-01 12:21:45,2026-07-01 12:21:50,success,8,https://www.onthehouse.com.au/suburb/wa/baldivis-6171
9,29,2026-07-01 12:21:41,2026-07-01 12:21:44,success,8,https://www.onthehouse.com.au/suburb/qld/wynnum-west-4178
8,29,2026-07-01 12:21:36,2026-07-01 12:21:40,success,8,https://www.onthehouse.com.au/suburb/qld/coomera-4209
7,29,2026-07-01 12:21:30,2026-07-01 12:21:34,success,8,https://www.onthehouse.com.au/suburb/nsw/wahroonga-2076
6,29,2026-07-01 12:21:26,2026-07-01 12:21:29,success,8,https://www.onthehouse.com.au/suburb/nsw/hornsby-2077
5,29,2026-06-26 13:46:35,2026-06-26 13:46:39,success,8,https://www.onthehouse.com.au/suburb/wa/baldivis-6171
4,29,2026-06-26 13:46:32,2026-06-26 13:46:33,success,8,https://www.onthehouse.com.au/suburb/qld/wynnum-west-4178
3,29,2026-06-26 13:46:27,2026-06-26 13:46:30,success,8,https://www.onthehouse.com.au/suburb/qld/coomera-4209
2,29,2026-06-26 13:46:22,2026-06-26 13:46:25,success,8,https://www.onthehouse.com.au/suburb/nsw/wahroonga-2076
1,29,2026-06-26 13:46:18,2026-06-26 13:46:21,success,8,https://www.onthehouse.com.au/suburb/nsw/hornsby-2077
